Company,Email,Person,Title,Notes
Sweep,support@sweep.dev,General inbox,—,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Roame,press@roame.travel,Team,—,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Tempo,sales@tempo.new,General inbox,—,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Subsets,support@subsets.com,General inbox,—,YC Summer 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Morph,info@morphllm.com,Team,—,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Kino AI,hello@kino.ai,Team,—,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Diffuse Bio,info@diffuse.bio,Team,—,YC Winter 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
IcePanel,mail@icepanel.io,Team,—,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Frontier Computing,hiring@frontier.site,Hiring Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
FinalDose,founders@finaldose.ai,Founders,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Visibl Semiconductors,founders@visiblsemi.com,Founders,—,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
SID,join@sid.ai,Hiring Team,—,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Assemble,careers@assemble.ai,Hiring Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Terminal,careers@withterminal.com,Hiring Team,—,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ashr,rohan@ashr.io,Team,—,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Infisical,team@infisical.com,Team,—,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Agentic Fabriq,support@agenticfabriq.com,General inbox,—,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Inkeep,support@inkeep.com,General inbox,—,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Rimward,careers@rimward.ai,Hiring Team,—,YC Summer 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Poth Labs,contact@pothlabs.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Twolabs,team@twolabs.ai,Team,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Collar,hello@usecollarai.com,Team,—,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
rekursiv.ai,contact@rekursiv.ai,Team,—,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
222,contact@222.place,Team,—,YC Winter 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Cekura,support@cekura.ai,General inbox,—,YC Fall 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Cedana,contact@cedana.ai,Team,—,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Nowadays,events@nowadays.ai,Team,—,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Instinct,hello@instinct.xyz,Team,—,YC Winter 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Datoric,service@datoric.com,Team,—,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Artie,hi@artie.com,Team,—,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Linzumi,hello@linzumi.com,Team,—,YC Spring 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Omnistrate,careers@omnistrate.com,Hiring Team,—,YC Winter 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Erinys,founders@erinys.ai,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Userlens,hai@userlens.io,Team,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Light Anchor,founders@lightanchor.ai,Founders,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Illume Labs,founders@illumelabs.ai,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Degla Inc,ceo@degla.ai,Team,—,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Mosaic,contact@mosaic.inc,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Audun,hello@audun.co,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Talking Computers,zayaan@talkingcomputers.ai,Team,—,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Palisade,support@palisade.run,General inbox,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Definite,contact@usedefinite.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Tenor,adam@heytenor.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Agnost AI,founders@agnost.ai,Founders,—,YC Summer 2026 · AI/ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Last Accounting Company,hello@lastaccountingcompany.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Ekho Labs,contact@ekholabs.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Perceptron ML,founders@perceptronml.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
hardware intelligence,hi@hardwareintelligence.ai,Team,—,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
herdr,hey@herdr.dev,Team,—,YC Fall 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Prized,founders@prized.dev,Founders,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Armature,founders@armature.tech,Founders,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Rex,hello@rex.inc,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Lantern AI,team@lantern.md,Team,—,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Velum Labs,founders@velum-labs.com,Founders,—,YC Winter 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Stormy,founders@stormy.ai,Founders,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Enjamb Labs,founders@enjamb.ai,Founders,—,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Riften,info@riften.ai,Team,—,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Belvedir,founders@belvedir.ai,Founders,—,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Isengard Industries Inc,hello@isengardindustries.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Studio,team@trystudio.ai,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Akon Labs,founders@akonlabs.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Fabraix,founders@fabraix.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Vetnio,info@vetnio.com,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Inth,support@inth.com,General inbox,—,YC Spring 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Rasyn,founders@rasyn.ai,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Trope,matthew@trope.ai,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Bizmark,rodrigo@bizmark.ai,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Alkera AI,contact@alkera.ai,Team,—,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Asteroid,founders@asteroid.ai,Founders,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Computable,team@getcomputable.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Lucidic AI,team@lucidic.ai,Team,—,YC Winter 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Donkey,hello@donkey.trade,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Qlo,founders@getqlo.com,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Arbital,support@arbital.xyz,General inbox,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
TovenAI,info@toven.ai,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Risklytics,hello@risklytics.ai,Team,—,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Swerve,founders@getswerve.com,Founders,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
neoncoral,stealth@neoncoral.inc,Team,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Marengo,contact@marengox.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Executor,rhys@executor.sh,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Grocalo,support@grocalo.com,General inbox,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Cactus Compute,founders@cactuscompute.com,Founders,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Moving Atoms,founder@movingatoms.ai,Founders,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
hiloop,founders@hiloop.ai,Founders,—,YC Summer 2026 · AI/ML/DevTools · cold email for opportunity; ask to forward to hiring manager
IRBC,support@irbc.com,General inbox,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Financial Datasets,support@financialdatasets.ai,General inbox,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Lumeria,contact@lumeria.skin,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Allia Health,jane@allia.health,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Experiential Labs,silen@experientiallabs.ai,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Billow AI Labs,joan@thebillow.ai,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Traverse,founders@traverse.so,Founders,—,YC Winter 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Graphify Labs,careers@graphify.com,Hiring Team,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Waddle Labs,founders@waddlelabs.ai,Founders,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
PRINCEPS,careers@princeps.dev,Hiring Team,—,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Nori,help@nori.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Almanac,rohan@usealmanac.com,Team,—,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Hilstart,founders@hilstart.io,Founders,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Design Arena,contact@designarena.ai,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Maximal,founders@trymaximal.com,Founders,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Agency Tool Company,mailbox@agencytool.com,Team,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Certus AI,info@certus-ai.com,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tweeks.io,contact@tweeks.io,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Sentient OS,jesai@sentient-os.ai,Team,—,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Overstand Labs,info@overstandlabs.com,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Speko,team@speko.ai,Team,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Zeon Systems,founders@zeonsystems.ai,Founders,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Acolite,team@acolite.ai,Team,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
CopyCat,hello@runcopycat.com,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Exla,contact@exla.ai,Team,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tegore,ende@tegore.ai,Team,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
StarSling,founders@starsling.dev,Founders,—,YC Spring 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Magnitude,founders@magnitude.dev,Founders,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Lotas,founders@lotas.ai,Founders,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Bramante,support@bramantebio.com,General inbox,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Cyberdesk,founders@cyberdesk.io,Founders,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Kairos,team@withkairos.co,Team,—,YC Spring 2025 · AI/ML · cold email for opportunity; ask to forward to hiring manager
VibeFlow,founders@vibeflow.ai,Founders,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Lyon,founders@lyon.so,Founders,—,YC Summer 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Bezel,kashyap@trybezel.com,Team,—,YC Winter 2025 · ML · cold email for opportunity; ask to forward to hiring manager
Perseus,careers@perseus.computer,Hiring Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Alice.tech,support@alice.tech,General inbox,—,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
LogosGuard,hello@logosguard.com,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
machine0,support@machine0.io,General inbox,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Redoubt Insurance,andre@redoubt.agency,Team,—,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Alter,security@alterauth.com,Team,—,YC Summer 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Spotlight Realty,support@spotlight.realty,General inbox,—,YC Summer 2025 · ML · cold email for opportunity; ask to forward to hiring manager
Hoplite,sales@hoplite.sh,General inbox,—,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Doe,jobs@doe.so,Hiring Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Focal,founders@focalml.com,Founders,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Maritime,contact@maritime.sh,Team,—,YC Fall 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Omnara,contact@omnara.com,Team,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Boost Robotics,founders@boostrobotics.ai,Founders,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Clarm,marcus@clarm.com,Team,—,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
assistant-ui,hello@assistant-ui.com,Team,—,YC Winter 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
KERNEL,security@kernel.sh,Team,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Patent Watch,alex@patentwatch.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Scoop,legal@scooplabs.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Magic Hour,support@magichour.ai,General inbox,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Kashikoi,founders@getkashikoi.com,Founders,—,YC Spring 2025 · ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Aleph Lab,contact@alephlab.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tell if AI,team@tellif.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Philon,info@philon.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Forge,hello@forgehq.com,Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Pleom,info@pleom.com,Team,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Embedder,founders@embedder.com,Founders,—,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Boom AI,privacy@useboom.ai,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Keet,founders@trykeet.com,Founders,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Corsair,dev@corsair.dev,Team,—,YC Winter 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
winfunc,hello@winfunc.com,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Vespper,founders@vespper.com,Founders,—,YC Fall 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Notte,hello@notte.cc,Team,—,YC Summer 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Moonshine,team@usemoonshine.com,Team,—,YC Fall 2024 · AI/ML · cold email for opportunity; ask to forward to hiring manager
ParaQuery,support@paraquery.com,General inbox,—,YC Spring 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Alara,support@alaradental.com,General inbox,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Freestyle,jobs@freestyle.sh,Hiring Team,—,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
mlop,founders@mlop.ai,Founders,—,YC Spring 2025 · ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Specific,careers@specific.dev,Hiring Team,—,YC Fall 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Lapis,contact@trylapis.com,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
ideate.xyz,founders@ideate.xyz,Founders,—,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Attunement,jane@attunement.ai,Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Gumloop,agent@gumloop.com,Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Alai,founders@getalai.com,Founders,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Happenstance,careers@happenstance.ai,Hiring Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Unify,team@unify.ai,Team,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Voker,support@voker.ai,General inbox,—,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Downlink,hello@downlink.dev,Team,—,YC Winter 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
LemonSlice,founders@lemonslice.com,Founders,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Plume,founders@plumefinder.com,Founders,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Sorcerer,team@sorcerer.earth,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Corgi Labs,woof@corgilabs.ai,Team,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
FactIQ,founders@factiq.com,Founders,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Benchmark,hello@withbenchmark.com,Team,—,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
TectoAI,founders@tecto.ai,Founders,—,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
InspectMind AI,support@inspectmind.ai,General inbox,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Propaya,info@propaya.com,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Zavo,hi@zavopay.com,Team,—,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Diffusion Studio,contact@diffusion.studio,Team,—,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Void,hello@useglass.ai,Team,—,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Freebuff,team@freebuff.com,Team,—,YC Fall 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Tiptap,humans@tiptap.dev,Team,—,YC Summer 2023 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
TrainLoop,founders@trainloop.ai,Founders,—,YC Winter 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Lilac,contact@getlilac.com,Team,—,YC Summer 2025 · ML · cold email for opportunity; ask to forward to hiring manager
Twine,john@usetwine.com,Team,—,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Vera Health,contact@vera-health.ai,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Simplex,founders@simplex.sh,Founders,—,YC Summer 2024 · ML · cold email for opportunity; ask to forward to hiring manager
The Context Company,founders@thecontextcompany.com,Founders,—,YC Fall 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Quetzal,brendan@getquetzal.com,Team,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
vly.ai,team@vly.ai,Team,—,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Orca Client,support@orcaclient.com,General inbox,—,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Breez Labs,founders@breezlabs.com,Founders,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Pierre,pierre@pierre.co,Team,—,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Melder,founders@melder.io,Founders,—,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Automorphic,founders@automorphic.ai,Founders,—,YC Summer 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Galini,contact@galini.ai,Team,—,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Pazi,support@pazi.ai,General inbox,—,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Parallel,contact@beparallel.com,Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Guide Labs,info@guidelabs.ai,Team,—,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
