#,Company,Email,Person,Title,City,Notes
,Eulogik,careers@eulogik.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on eulogik.com; MX OK
,In-Solutions Global,careers@insolutionsglobal.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on insolutionsglobal.com; MX OK
,FloCareer,hr@flocareer.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on flocareer.com; MX OK
,ICTPvtLtd,recruitment@ictonline.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ictonline.com; MX OK
,IKS Health,careers@ikshealth.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ikshealth.com; MX OK
,Indapoint Technologies,hr@indapoint.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on indapoint.com; MX OK
,FanCraze,careers@fancraze.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on fancraze.com; MX OK
,Inci Tech,HR@incitech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on incitech.com; MX OK
,Infinit-o,hr@infinit-o.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on infinit-o.com; MX OK
,Incture,careers@incture.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on incture.com; MX OK
,Innovsource,jobs@innov.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on innov.in; MX OK
,Inflow Technologies,jobs@inflowtechnologies.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on inflowtechnologies.com; MX OK
,Insemi Technology Services,careers@insemitech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on insemitech.com; MX OK
,Ingenium,Hr@cyanous.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on cyanous.com; MX OK
,InfraBeat Technologies,talent@infrabeat.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on infrabeat.com; MX OK
,Helical IT Solutions,careers@helicaltech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on helicaltech.com; MX OK
,Empaxis,careers@empaxis.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on empaxis.com; MX OK
,Innefu Labs,jobs@innefu.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on innefu.com; MX OK
,InspiresTEK,HR@InspiresTEK.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on InspiresTEK.com; MX OK
,Jekson Vision,careers@jeksonvision.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on jeksonvision.com; MX OK
,Go-tech Solution,career@go-techsolution.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on go-techsolution.com; MX OK
,Infovices Technology,hr@Infovices.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on Infovices.com; MX OK
,Jombay,jobs@jombay.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on jombay.com; MX OK
,Knowlarity,careers@knowlarity.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on knowlarity.com; MX OK
,Incrivelsoft,hr@incrivelsoft.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on incrivelsoft.com; MX OK
,Izel Technologies,careers@izeltech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on izeltech.com; MX OK
,LRS Services (P),hr@lrsservices.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on lrsservices.in; MX OK
,Kilowott,career@kilowott.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on kilowott.com; MX OK
,LSA Recruit,Careers@Lsarecruit.co.uk,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on Lsarecruit.co.uk; MX OK
,Information Evolution,hr@informationevolution.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on informationevolution.com; MX OK
,La Net Team Software Solution.,recruitment@lanetteam.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on lanetteam.com; MX OK
,Lentra,careers@lentra.ai,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on lentra.ai; MX OK
,Greaves Electric Mobility,careers@greaveselectricmobility.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on greaveselectricmobility.com; MX OK
,Kaerusworld Management Solutions,hr@kaerusworld.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on kaerusworld.com; MX OK
,Latika Roy Foundation,careers@latikaroy.org,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on latikaroy.org; MX OK
,Kaavian Systems,careers@kaaviansys.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on kaaviansys.com; MX OK
,Linearloop,hr@linearloop.io,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on linearloop.io; MX OK
,Get on Data,career@getondata.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on getondata.com; MX OK
,Linearloop & QAble,career@qable.io,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on qable.io; MX OK
,Lirik,hiring@lirik.io,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on lirik.io; MX OK
,KlearNow,jobs@klearnow.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on klearnow.com; MX OK
,KAS Global Commerce Inc.,career@kascommerce.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on kascommerce.com; MX OK
,Maantic Inc,jobs@maantic.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on maantic.com; MX OK
,MapmyIndia (CE Info Systems),hr@mapmyindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mapmyindia.com; MX OK
,MangoApps,careers@mangoapps.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mangoapps.com; MX OK
,Kreativ Street,hr@kreativstreet.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on kreativstreet.com; MX OK
,Liontree HR Consultants Pvt Ltd,careers@liontreehr.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on liontreehr.com; MX OK
,Matrix Web Infotech,hr@matrixwebinfotech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on matrixwebinfotech.com; MX OK
,Mitigata,hr@mitigata.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mitigata.com; MX OK
,Mirai Robotics,jobs@miraitech.ai,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on miraitech.ai; MX OK
,Multigraphics Group,hr@multigraphics.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on multigraphics.in; MX OK
,Moonfrog Labs,hr@moonfroglabs.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on moonfroglabs.com; MX OK
,NASSCOM,hr@nasscom.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nasscom.in; MX OK
,Modefin,careers@modefin.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on modefin.com; MX OK
,Nanostuffs,recruitment@nanostuffs.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nanostuffs.com; MX OK
,Mobisoft Infotech,jobs@mobisoftinfotech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mobisoftinfotech.com; MX OK
,MetaDesign Solutions,hr@metadesignsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on metadesignsolutions.com; MX OK
,Mygo Consulting,careers@mygoconsulting.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mygoconsulting.com; MX OK
,Mind Shaper Technologies Private Limited,careers@classteacher.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on classteacher.com; MX OK
,Mokobara,careers@mokobara.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mokobara.com; MX OK
,Maven Profcon Services LLP,careers@mavenprofserv.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on mavenprofserv.com; MX OK
,Livares Technologies Pvt Ltd,hr@livares.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on livares.com; MX OK
,NIIT,careers@niitmts.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on niitmts.com; MX OK
,Medryte Healthcare Solutions Pvt,jobs@medryte.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on medryte.com; MX OK
,Neovatic Technologies,careers@neovatic.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on neovatic.com; MX OK
,Nature Technologies,hr@natureglobal.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on natureglobal.com; MX OK
,NU Hospitals,careers@nuhospitals.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nuhospitals.com; MX OK
,NephroPlus,jobs@nephroplus.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nephroplus.com; MX OK
,NbliK,careers@nblik.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nblik.com; MX OK
,Neutrino Tech Systems,careers@neutrinotechsystems.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on neutrinotechsystems.com; MX OK
,Muthoot Securities,career@muthootsecurities.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on muthootsecurities.com; MX OK
,Net Solutions,careers@netsolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on netsolutions.com; MX OK
